Asset or serial number,Model Number,Condition,Years of service left ,Initial value,Down payment,Date purchased or leased,Loan term in years,Loan rate,Monthly payment,Monthly operating costs,Total monthly cost,Expected value at end of loan term,Annual straight line depreciation,Monthly straight line depreciation,Current value
5598628310,MQ63T25J55B21,Excellent,22,900000,180000,38803,55,0.049317178,3170.653789,6341.307578,9511.961366,270000,11454.54545,954.5454545,727344.6216
7101362217,TC64N22P99R74,Excellent,43,800000,160000,29861,10,0.055037472,6946.870162,13893.74032,20840.61049,240000,56000,4666.666667,-1416016.249
7313010484,JC64J95U12Y78,Excellent,44,500000,100000,37652,35,0.04416766,1872.461057,3744.922113,5617.38317,150000,10000,833.3333333,317734.8676
5211412034,XV56O78T20P26,Excellent,27,100000,20000,34153,35,0.072486479,525.097242,1050.194484,1575.291726,30000,2000,166.6666667,44374.37077
3116152445,GI65D97Q64T65,Good,34,400000,80000,36716,20,0.043812368,2004.021209,4008.042418,6012.063627,120000,14000,1166.666667,108927.4447
9591292824,CF69G72C36A79,Excellent,40,900000,180000,38390,40,0.030300384,2589.967777,5179.935554,7769.903332,270000,15750,1312.5,644777.6219
1043057271,VA11Q37S13I57,Good,15,900000,180000,35900,20,0.044467015,4534.387089,9068.774177,13603.16127,270000,31500,2625,174664.8328
58825953.47,AZ50T97D82G18,Poor,45,300000,60000,37908,45,0.008872363,539.2184764,1078.436953,1617.655429,90000,4666.666667,388.8888889,218215.9976
2110512716,EL17A92H10H32,Good,11,100000,20000,27804,25,0.077452183,604.0118885,1208.023777,1812.035665,30000,2800,233.3333333,-26580.53845
9253044344,KV27Q13R63F61,Excellent,24,900000,180000,26428,20,0.096743399,6793.525544,13587.05109,20380.57663,270000,31500,2625,-642781.7425
1792686491,BC85T89Z13G95,Good,35,500000,100000,34950,10,0.056608379,4372.998739,8745.997479,13118.99622,150000,35000,2916.666667,-397023.854
5127229358,NX66Q70N45E43,Excellent,36,500000,100000,41449,55,0.010518356,798.4339924,1596.867985,2395.301977,150000,6363.636364,530.3030303,450212.3503
9619124371,TO67F15D56Q86,Excellent,44,600000,120000,27445,10,0.013927237,4287.325267,8574.650534,12861.9758,180000,42000,3500,-1340017.666
6088095552,HV51X82G46G28,Excellent,49,300000,60000,27728,50,0.027003337,729.4162529,1458.832506,2188.248759,90000,4200,350,109254.6718
4325544798,HG52W27K27Q60,Good,22,600000,120000,33640,30,0.052571557,2652.705564,5305.411129,7958.116693,180000,14000,1166.666667,190943.8831
9149329176,JI36Z12J59O36,Excellent,42,200000,40000,40013,50,0.012267768,356.8929192,713.7858384,1070.678758,60000,2800,233.3333333,167077.5437
5067823829,ZF76X29O14O32,Excellent,21,700000,140000,27181,20,0.067406851,4254.93775,8509.8755,12764.81325,210000,24500,2041.666667,-449397.5197
6954260521,BF50S46V15J10,Excellent,10,900000,180000,34871,10,0.071078295,8399.878612,16799.75722,25199.63584,270000,63000,5250,-728278.5536
6504242595,UV99S36D74G21,Excellent,30,700000,140000,36001,15,0.036991204,4058.32475,8116.6495,12174.97425,210000,32666.66667,2722.222222,-43160.16324
6270100901,MW93U95F31I50,Excellent,31,400000,80000,29662,10,0.029215383,3078.367586,6156.735171,9235.102757,120000,28000,2333.333333,-723273.8777
2513848215,VC88T49B39C63,Good,43,500000,100000,33465,40,0.0518803,1978.863298,3957.726597,5936.589895,150000,8750,729.1666667,240144.7214
9573414086,SL42F24J71Y69,Excellent,40,800000,160000,37691,10,0.088019278,8038.803454,16077.60691,24116.41036,240000,56000,4666.666667,-214701.18
3290772481,DD72S80L60A69,Good,48,800000,160000,28473,35,0.006950721,1717.109054,3434.218107,5151.327161,240000,16000,1333.333333,106008.6648
7329154104,FK12G15D77M53,Excellent,29,400000,80000,34778,35,0.055393446,1726.709584,3453.419167,5180.128751,120000,8000,666.6666667,191196.1132
4690502173,GU58Z68M73X17,Good,41,400000,80000,37249,45,0.05286261,1554.460509,3108.921019,4663.381528,120000,6222.222222,518.5185185,279720.569
3290623872,DF88A30U92M70,Good,48,700000,140000,25833,50,0.065822407,3191.54962,6383.099239,9574.648859,210000,9800,816.6666667,204048.1154
5980825293,RC14T10T14G19,Excellent,19,800000,160000,36504,15,0.099989959,6877.079613,13754.15923,20631.23884,240000,37333.33333,3111.111111,2122.500983
8361899977,NX19T34G50M18,Excellent,35,200000,40000,37970,20,0.095361496,1495.18892,2990.37784,4485.56676,60000,7000,583.3333333,78513.03743
3619576809,DV34Z39Q38E69,Good,30,900000,180000,32924,10,0.033981573,7085.483999,14170.968,21256.452,270000,63000,5250,-1064336.088
433705398.6,UR63Y87M17B20,Good,41,800000,160000,34928,10,0.078151483,7702.594801,15405.1896,23107.7844,240000,56000,4666.666667,-638613.5088
9676909476,QX97I49S19Q85,Excellent,39,300000,60000,43783,40,0.006465002,567.5672587,1135.134517,1702.701776,90000,5250,437.5,292496.4219
6468572017,KY40G89X80R38,Excellent,49,900000,180000,37389,10,0.09943922,9492.508643,18985.01729,28477.52593,270000,63000,5250,-293664.8549
1099398540,OH17G85M97E14,Good,17,500000,100000,37018,25,0.077578669,3023.381262,6046.762523,9070.143785,150000,14000,1166.666667,220511.0064
